"naam"	"naam_clean"
"Bacillus ginsengihumi"	"Bacillus ginsengihumi"
"Bacillus gossypii"	"Bacillus gossypii"
"Bacillus halmapalus"	"Bacillus halmapalus"
"Bacillus halodurans"	"Bacillus halodurans"
"Bacillus halosaccharovorans"	"Bacillus halosaccharovorans"
"Bacillus hemicellulosilyticus"	"Bacillus hemicellulosilyticus"
"Bacillus horikoshii"	"Bacillus horikoshii"
"Bacillus horneckiae"	"Bacillus horneckiae"
"Bacillus horti"	"Bacillus horti"
"Bacillus humi"	"Bacillus humi"
"Bacillus hwajinpoensis"	"Bacillus hwajinpoensis"
"Bacillus idriensis"	"Bacillus idriensis"
"Bacillus indicus"	"Bacillus indicus"
"Bacillus infantis"	"Bacillus infantis"
"Bacillus jeotgali"	"Bacillus jeotgali"
"Bacillus kochii"	"Bacillus kochii"
